feature,gc_false,gc_true,zhou
pfe,0.9507,0.9502,0.9579
coverage,0.9476,0.916,0.9638
ends,0.9465,0.939,0.9639
ocf,0.9028,0.9143,0.9467
ifs,0.9526,0.9404,0.9653
wps,0.9423,0.9555,0.9658
